,Level,Page,Question,question_type,A,B,C,D,Answer,Subject,Year,School,Exam,Number,Image,Image File
1,P6,1," John in addition to the two monitors, _________ the books from the staff roorn io theclassroom every morning.",MCQ, carry, carries, carrying, have carried,-,ENGLISH,2019,chij_2pages,CA1,1,No,-
2,P6,1," When, the results of the competition were announced, neither the winner nor his parents
AALRINY
_________ atthe hall.a",MCQ, is, are, was, were,-,ENGLISH,2019,chij_2pages,CA1,2,No,-
3,P6,1, [ne nandicratt did not iurn out well as the girl did not put in ____________ effort to glue theparts together.,MCQ, many, much, little, few,-,ENGLISH,2019,chij_2pages,CA1,3,No,-
4,P6,1, My grandmother managed to prepare a nutritions meal for us ___________having only a fewin the refrigeraior.,MCQ, despite, besides, because of, resulting from,-,ENGLISH,2019,chij_2pages,CA1,4,No,-
5,P6,1,"o With trepidation, Sarah watched the running boy ___________ the pail, spilling water all overthe floor.",MCQ," knock

"," knocks

"," Knocked

", was knocking,-,ENGLISH,2019,chij_2pages,CA1,5,No,-
6,P6,2," ""You've put the carton of milk in ihe refrigerator, __________?* Mrs Lim asked her daughter.",MCQ, isn't it, didn'twe, hadn't you, haven't you,-,ENGLISH,2019,chij_2pages,CA1,6,No,-
7,P6,2," ""| have never __________ such an interesting flower before,” exclaimed the old lady as she
fooked closely at it.",MCQ, see, saw, seen, been seeing,-,ENGLISH,2019,chij_2pages,CA1,7,No,-
8,P6,2," If She __________ tore waier throughout the day, she would not have been dehydrated.",MCQ, drunk, drinks, has drunk, had drunk,-,ENGLISH,2019,chij_2pages,CA1,8,No,-
9,P6,2," All of the luagage __________io the collection point except the one that belonged to the elderly
bespectacled man.",MCQ, is delivering, was delivered," has been delivering
", nave been delivered,-,ENGLISH,2019,chij_2pages,CA1,9,No,-
10,P6,2,"VU In order io be heaithier, Mrs Chandra eliminated salty food and sugary drinks _________. he
diet.(off",MCQ, oui, from, away,-,-,ENGLISH,2019,chij_2pages,CA1,10,No,-
